Timestamp (UTC),Height (m)
2024-11-25T18:20:00Z,2.13
2024-11-25T18:30:00Z,2.13
2024-11-25T18:45:00Z,2.14
2024-11-25T19:00:00Z,2.14
2024-11-25T19:15:00Z,2.15
2024-11-25T19:30:00Z,2.15
2024-11-25T19:45:00Z,2.16
2024-11-25T20:00:00Z,2.16
2024-11-25T20:15:00Z,2.17
2024-11-25T20:30:00Z,2.17
2024-11-25T20:45:00Z,2.18
2024-11-25T21:00:00Z,2.18
2024-11-25T21:15:00Z,2.19
2024-11-25T21:30:00Z,2.19
2024-11-25T21:45:00Z,2.2
2024-11-25T22:00:00Z,2.2
2024-11-25T22:15:00Z,2.21
2024-11-25T22:30:00Z,2.21
2024-11-25T22:45:00Z,2.22
2024-11-25T23:00:00Z,2.22
2024-11-25T23:15:00Z,2.23
2024-11-25T23:30:00Z,2.23
2024-11-25T23:45:00Z,2.24
2024-11-26T00:00:00Z,2.24
2024-11-26T00:15:00Z,2.25
2024-11-26T00:30:00Z,2.25
2024-11-26T00:45:00Z,2.26
2024-11-26T01:00:00Z,2.26
2024-11-26T01:15:00Z,2.27
2024-11-26T01:30:00Z,2.27
2024-11-26T01:45:00Z,2.28
2024-11-26T02:00:00Z,2.29
2024-11-26T02:15:00Z,2.29
2024-11-26T02:30:00Z,2.3
2024-11-26T02:45:00Z,2.31
2024-11-26T03:00:00Z,2.32
2024-11-26T03:15:00Z,2.33
2024-11-26T03:30:00Z,2.34
2024-11-26T03:45:00Z,2.35
2024-11-26T04:00:00Z,2.36
2024-11-26T04:15:00Z,2.37
2024-11-26T04:30:00Z,2.39
2024-11-26T04:45:00Z,2.4
2024-11-26T05:00:00Z,2.42
2024-11-26T05:15:00Z,2.44
2024-11-26T05:30:00Z,2.46
2024-11-26T05:45:00Z,2.48
2024-11-26T06:00:00Z,2.49
2024-11-26T06:15:00Z,2.51
2024-11-26T06:30:00Z,2.53
2024-11-26T06:45:00Z,2.54
2024-11-26T07:00:00Z,2.56
2024-11-26T07:15:00Z,2.57
2024-11-26T07:30:00Z,2.58
2024-11-26T07:45:00Z,2.59
2024-11-26T08:00:00Z,2.6
2024-11-26T08:15:00Z,2.62
2024-11-26T08:30:00Z,2.62
2024-11-26T08:45:00Z,2.63
2024-11-26T09:00:00Z,2.64
2024-11-26T09:15:00Z,2.65
2024-11-26T09:30:00Z,2.66
2024-11-26T09:45:00Z,2.67
2024-11-26T10:00:00Z,2.67
2024-11-26T10:15:00Z,2.68
2024-11-26T10:30:00Z,2.68
2024-11-26T10:45:00Z,2.69
2024-11-26T11:00:00Z,2.69
2024-11-26T11:15:00Z,2.7
2024-11-26T11:30:00Z,2.7
2024-11-26T11:45:00Z,2.71
2024-11-26T12:00:00Z,2.71
2024-11-26T12:15:00Z,2.71
2024-11-26T12:30:00Z,2.72
2024-11-26T12:45:00Z,2.72
2024-11-26T13:00:00Z,2.72
2024-11-26T13:15:00Z,2.72
2024-11-26T13:30:00Z,2.72
2024-11-26T13:45:00Z,2.73
2024-11-26T14:00:00Z,2.73
2024-11-26T14:15:00Z,2.73
2024-11-26T14:30:00Z,2.73
2024-11-26T14:45:00Z,2.73
2024-11-26T15:00:00Z,2.73
2024-11-26T15:15:00Z,2.73
2024-11-26T15:30:00Z,2.73
2024-11-26T15:45:00Z,2.73
2024-11-26T16:00:00Z,2.73
2024-11-26T16:15:00Z,2.73
2024-11-26T16:30:00Z,2.73
2024-11-26T16:45:00Z,2.73
2024-11-26T17:00:00Z,2.73
2024-11-26T17:15:00Z,2.73
2024-11-26T17:30:00Z,2.73
2024-11-26T17:45:00Z,2.73
2024-11-26T18:00:00Z,2.73
2024-11-26T18:15:00Z,2.73
2024-11-26T18:30:00Z,2.73
2024-11-26T18:45:00Z,2.73
2024-11-26T19:00:00Z,2.73
2024-11-26T19:15:00Z,2.73
2024-11-26T19:30:00Z,2.73
2024-11-26T19:45:00Z,2.73
2024-11-26T20:00:00Z,2.73
2024-11-26T20:15:00Z,2.73
2024-11-26T20:30:00Z,2.72
2024-11-26T20:45:00Z,2.72
2024-11-26T21:00:00Z,2.72
2024-11-26T21:15:00Z,2.72
2024-11-26T21:30:00Z,2.72
2024-11-26T21:45:00Z,2.72
2024-11-26T22:00:00Z,2.72
2024-11-26T22:15:00Z,2.72
2024-11-26T22:30:00Z,2.71
2024-11-26T22:45:00Z,2.71
2024-11-26T23:00:00Z,2.71
2024-11-26T23:15:00Z,2.71
2024-11-26T23:30:00Z,2.71
2024-11-26T23:45:00Z,2.71
2024-11-27T00:00:00Z,2.71
2024-11-27T00:15:00Z,2.71
2024-11-27T00:30:00Z,2.7
2024-11-27T00:45:00Z,2.71
2024-11-27T01:00:00Z,2.7
2024-11-27T01:15:00Z,2.7
2024-11-27T01:30:00Z,2.7
2024-11-27T01:45:00Z,2.7
2024-11-27T02:00:00Z,2.7
2024-11-27T02:15:00Z,2.7
2024-11-27T02:30:00Z,2.7
2024-11-27T02:45:00Z,2.7
2024-11-27T03:00:00Z,2.7
2024-11-27T03:15:00Z,2.7
2024-11-27T03:30:00Z,2.69
2024-11-27T03:45:00Z,2.69
2024-11-27T04:00:00Z,2.69
2024-11-27T04:15:00Z,2.69
2024-11-27T04:30:00Z,2.69
2024-11-27T04:45:00Z,2.69
2024-11-27T05:00:00Z,2.69
2024-11-27T05:15:00Z,2.69
2024-11-27T05:30:00Z,2.69
2024-11-27T05:45:00Z,2.68
2024-11-27T06:00:00Z,2.68
2024-11-27T06:15:00Z,2.68
2024-11-27T06:30:00Z,2.68
2024-11-27T06:45:00Z,2.68
2024-11-27T07:00:00Z,2.68
2024-11-27T07:15:00Z,2.67
2024-11-27T07:30:00Z,2.67
2024-11-27T07:45:00Z,2.67
2024-11-27T08:00:00Z,2.67
2024-11-27T08:15:00Z,2.67
2024-11-27T08:30:00Z,2.67
2024-11-27T08:45:00Z,2.67
2024-11-27T09:00:00Z,2.67
2024-11-27T09:15:00Z,2.67
2024-11-27T09:30:00Z,2.66
2024-11-27T09:45:00Z,2.66
2024-11-27T10:00:00Z,2.66
2024-11-27T10:15:00Z,2.66
2024-11-27T10:30:00Z,2.66
2024-11-27T10:45:00Z,2.66
2024-11-27T11:00:00Z,2.66
2024-11-27T11:15:00Z,2.65
2024-11-27T11:30:00Z,2.65
2024-11-27T11:45:00Z,2.65
2024-11-27T12:00:00Z,2.65
2024-11-27T12:15:00Z,2.65
2024-11-27T12:30:00Z,2.65
2024-11-27T12:45:00Z,2.65
2024-11-27T13:00:00Z,2.65
2024-11-27T13:15:00Z,2.65
2024-11-27T13:30:00Z,2.64
2024-11-27T13:45:00Z,2.64
2024-11-27T14:00:00Z,2.64
2024-11-27T14:15:00Z,2.64
2024-11-27T14:30:00Z,2.64
2024-11-27T14:45:00Z,2.64
2024-11-27T15:00:00Z,2.64
2024-11-27T15:15:00Z,2.64
2024-11-27T15:30:00Z,2.64
2024-11-27T15:45:00Z,2.64
2024-11-27T16:00:00Z,2.63
2024-11-27T16:15:00Z,2.63
2024-11-27T16:30:00Z,2.63
2024-11-27T16:45:00Z,2.63
2024-11-27T17:00:00Z,2.63
2024-11-27T17:15:00Z,2.63
2024-11-27T17:30:00Z,2.63
2024-11-27T17:45:00Z,2.63
2024-11-27T18:00:00Z,2.63
2024-11-27T18:15:00Z,2.63
