Timestamp (UTC),Height (m)
2024-11-25T22:00:00Z,4.45
2024-11-25T22:15:00Z,4.45
2024-11-25T22:30:00Z,4.45
2024-11-25T22:45:00Z,4.45
2024-11-25T23:00:00Z,4.45
2024-11-25T23:15:00Z,4.45
2024-11-25T23:30:00Z,4.45
2024-11-25T23:45:00Z,4.45
2024-11-26T00:00:00Z,4.45
2024-11-26T00:15:00Z,4.45
2024-11-26T00:30:00Z,4.45
2024-11-26T00:45:00Z,4.45
2024-11-26T01:00:00Z,4.45
2024-11-26T01:15:00Z,4.45
2024-11-26T01:30:00Z,4.45
2024-11-26T01:45:00Z,4.44
2024-11-26T02:00:00Z,4.44
2024-11-26T02:15:00Z,4.44
2024-11-26T02:30:00Z,4.44
2024-11-26T02:45:00Z,4.44
2024-11-26T03:00:00Z,4.44
2024-11-26T03:15:00Z,4.44
2024-11-26T03:30:00Z,4.44
2024-11-26T03:45:00Z,4.44
2024-11-26T04:00:00Z,4.44
2024-11-26T04:15:00Z,4.44
2024-11-26T04:30:00Z,4.44
2024-11-26T04:45:00Z,4.44
2024-11-26T05:00:00Z,4.44
2024-11-26T05:15:00Z,4.44
2024-11-26T05:30:00Z,4.44
2024-11-26T05:45:00Z,4.44
2024-11-26T06:00:00Z,4.43
2024-11-26T06:15:00Z,4.43
2024-11-26T06:30:00Z,4.43
2024-11-26T06:45:00Z,4.43
2024-11-26T07:00:00Z,4.43
2024-11-26T07:15:00Z,4.43
2024-11-26T07:30:00Z,4.43
2024-11-26T07:45:00Z,4.43
2024-11-26T08:00:00Z,4.43
2024-11-26T08:15:00Z,4.43
2024-11-26T08:30:00Z,4.43
2024-11-26T08:45:00Z,4.43
2024-11-26T09:00:00Z,4.42
2024-11-26T09:15:00Z,4.42
2024-11-26T09:30:00Z,4.42
2024-11-26T09:45:00Z,4.42
2024-11-26T10:00:00Z,4.42
2024-11-26T10:15:00Z,4.42
2024-11-26T10:30:00Z,4.42
2024-11-26T10:45:00Z,4.42
2024-11-26T11:00:00Z,4.42
2024-11-26T11:15:00Z,4.42
2024-11-26T11:30:00Z,4.41
2024-11-26T11:45:00Z,4.41
2024-11-26T12:00:00Z,4.41
2024-11-26T12:15:00Z,4.41
2024-11-26T12:30:00Z,4.41
2024-11-26T12:45:00Z,4.41
2024-11-26T13:00:00Z,4.4
2024-11-26T13:15:00Z,4.4
2024-11-26T13:30:00Z,4.4
2024-11-26T13:45:00Z,4.4
2024-11-26T14:00:00Z,4.4
2024-11-26T14:15:00Z,4.39
2024-11-26T14:30:00Z,4.39
2024-11-26T14:45:00Z,4.39
2024-11-26T15:00:00Z,4.39
2024-11-26T15:15:00Z,4.39
2024-11-26T15:30:00Z,4.38
2024-11-26T15:45:00Z,4.38
2024-11-26T16:00:00Z,4.38
2024-11-26T16:15:00Z,4.38
2024-11-26T16:30:00Z,4.38
2024-11-26T16:45:00Z,4.38
2024-11-26T17:00:00Z,4.37
2024-11-26T17:15:00Z,4.37
2024-11-26T17:30:00Z,4.37
2024-11-26T17:45:00Z,4.37
2024-11-26T18:00:00Z,4.37
2024-11-26T18:15:00Z,4.37
2024-11-26T18:30:00Z,4.36
